dataset,client_id,ind_local_acc,ind_global_acc,ind_switch_acc,ood_local_acc,ood_global_acc,ood_switch_acc,mix_local_acc,mix_global_acc,mix_switch_acc
cifar10,16,0.7820555555555555,0.49777777777777776,0.6475,0.0,0.3443809523809524,0.24252380952380953,0.39106036614162293,0.42228519043253604,0.4452871072589382
cifar10,17,0.8575,0.5473888888888889,0.7172222222222222,0.0,0.32311904761904764,0.2251904761904762,0.42878573214434534,0.4370364197016418,0.4722893574464539
cifar10,18,0.9256666666666666,0.48541666666666666,0.7000833333333333,0.0,0.36664583333333334,0.2905,0.4628333333333333,0.42845833333333333,0.4982083333333333
cifar10,19,0.8372222222222222,0.5796666666666667,0.7019444444444445,0.0,0.3092857142857143,0.2275,0.41864599827763427,0.44587048920743394,0.4658999361057866
svhn,0,0.92043078209954,0.800710999581765,0.8859612435522096,0.0,0.7701602051078658,0.5644149184809553,0.46026351563316953,0.7711143643905329,0.7060197288159225
svhn,1,0.9415616742618619,0.8219277754375215,0.9006625052655766,0.0,0.7636656827375096,0.5597600306111293,0.4707898516036381,0.7791096218286261,0.7184298707515557
svhn,2,0.8832325331156543,0.736596044673667,0.8370004823568699,0.0,0.7947828250711936,0.6280239984517128,0.4416244596575203,0.7466280774011614,0.7171852099218938
svhn,3,0.9365568216815522,0.7144441022482292,0.8769325531259624,0.0,0.7916054615069714,0.6067257446962218,0.4683216804755598,0.7380109033788154,0.7362860750916315
svhn,4,0.9500989623942901,0.7248245666646674,0.8839441012415282,0.0,0.7899196281591944,0.6388350924760337,0.47506372769530664,0.7414904783325836,0.7576248313090418
svhn,5,0.9470857684410046,0.7980308534723319,0.8831674827568051,0.0,0.7744844076915413,0.6281508418850255,0.473555350796367,0.7664867710938529,0.7380281690140845
svhn,6,0.9137631150760254,0.7961903158839702,0.8679234696740167,0.0,0.769354053077322,0.6449098879688261,0.45689437508767006,0.7734885678215738,0.7452097068312526
svhn,7,0.9595900248074161,0.8170779475127301,0.8982895939417679,0.0,0.7720403472627455,0.6228340736682902,0.4798889977146588,0.7759712699967353,0.7513222331047992
svhn,8,0.9358138928711065,0.7638798383943699,0.8766127981232894,0.0,0.7857486479000539,0.6149831625289736,0.46793743890518086,0.7611925708699903,0.7291300097751711
svhn,9,0.9167049584360248,0.7439324950916913,0.8593508500772797,0.0,0.7901260783012608,0.6132581287325813,0.45840992647058826,0.750543114973262,0.7228024732620321
svhn,10,0.861141583212428,0.7555822923670336,0.8168017268834707,0.0,0.7883007180064762,0.6668168379557933,0.430570791606214,0.7519197423829577,0.7206730599101171
svhn,11,0.9300444043049597,0.8686686234665463,0.8945585911040868,0.0,0.7462146737261913,0.6647734305163996,0.4650747055060028,0.7961499379022242,0.7699183320161078
svhn,12,0.9013390325816723,0.708204300606272,0.8435905264535264,0.0,0.8002409575443283,0.6319635420759017,0.45068917386373547,0.7407528570182326,0.7310259094477886
svhn,13,0.9229893323744457,0.6953733668944025,0.857005873187103,0.0,0.7958790842947593,0.611757442223648,0.4615776538991788,0.7323323143319547,0.7219624767727627
svhn,14,0.9011770984671035,0.8233462804281436,0.8714679633528034,0.0,0.7561697324669778,0.5756078216039779,0.45059522927075146,0.7720635108890634,0.7073962611003217
svhn,15,0.9106660153069532,0.7478586549421918,0.8610975411170819,0.0,0.7929254636649947,0.6238772891636534,0.4553552526584917,0.7579917598970801,0.7268389597277184
svhn,16,0.9389100922749891,0.8599449248755978,0.9009130875887724,0.0,0.7210965435041716,0.5900744502599713,0.46945504613749456,0.7856780520798107,0.7391299096574714
svhn,17,0.9108753633612036,0.8134496089184573,0.8637058347568102,0.0,0.7615442961165049,0.6591777912621359,0.4554376816806018,0.7772783122059397,0.7512811291917648
svhn,18,0.9448345035105316,0.7423699670439892,0.876629889669007,0.0,0.7849784955057365,0.639509674092651,0.4725188104621999,0.7489430311716231,0.7352920100322465
svhn,19,0.918477117701854,0.8185342107635446,0.8716608071155985,0.0,0.7590516588395697,0.6478412361763369,0.4592454587796926,0.7785507159277011,0.7489069519359346
medmnistA,0,0.9942299156679982,0.9605605224779659,0.9611311901591528,0.0,0.9529701246547041,0.952320155992479,0.4971622435714512,0.9549446716763372,0.9548178445733854
medmnistA,1,0.9967757634748753,0.9780386908383015,0.9780995254897189,0.0,0.9460765820994058,0.9460058474016788,0.4984485276222925,0.9637077147724508,0.9637077147724508
medmnistA,2,0.9941509066094756,0.9504776759602261,0.9550594657828037,0.0,0.9559598287783997,0.9543340467566678,0.49712391537486594,0.9498391342497806,0.9513990445549381
medmnistA,3,0.9941905005107252,0.9719739530132788,0.9731869254341164,0.0,0.9488491640809522,0.9483397397304683,0.4971587281317839,0.9619461116077129,0.9622972800408632
medmnistA,4,0.999235668789809,0.9913375796178344,0.9913375796178344,0.0,0.9459160913436007,0.9459160913436007,0.4997663849127129,0.9657647708448371,0.9657647708448371
medmnistA,5,0.9946285506190823,0.9613983976693372,0.9760560815731973,0.0,0.9535369573392387,0.926315129737183,0.49731427530954114,0.9545702840495266,0.9487891478514202
medmnistA,6,0.996779293786965,0.9674415881009545,0.9709550857879019,0.0,0.9499198046585114,0.9458262514064109,0.4984480234260615,0.9597657393850659,0.9596193265007321
medmnistA,7,0.9989693909100278,0.9817066886529939,0.98222199319798,0.0,0.941866950613528,0.941461312240138,0.5001806078745034,0.9622787553537334,0.9624593632282368
medmnistA,8,0.9915268456375839,0.9438758389261745,0.9500838926174496,0.0,0.9578308118474324,0.9532069038994246,0.49576342281879193,0.9498741610738255,0.9514261744966444
medmnistA,9,0.9992060839043958,0.9980778873474846,0.9980778873474846,0.0,0.9254825591385532,0.9254825591385532,0.5160336642209754,0.9658610271903323,0.9658610271903323
medmnistA,10,0.9772070360888595,0.8985052440333636,0.9104798084069701,0.0,0.9696412143514259,0.9665390128580903,0.48870441498368644,0.9331763928468179,0.9377194069301615
medmnistA,11,0.9984321103794292,0.9653182815929758,0.9676387582314205,0.0,0.9511711921687449,0.9494930660762149,0.4992317099940418,0.9559095612907272,0.9562231490482611
medmnistA,12,0.9662062491618614,0.8947968351884136,0.9013007912028966,0.0,0.9754415513474144,0.9735296795338675,0.48313551934553745,0.9339837725474418,0.9362971903708174
medmnistA,13,0.9967657078787356,0.9838716632886282,0.9847772650825822,0.0,0.936232859426264,0.9347186001514259,0.5121421607728441,0.9629974297615882,0.9630417442169635
